id,source,target
document.mqxliff_1,24MY / PAJERO SPORT/MONTERO SPORT / General Export/Brazil/South Africa/Eastern Europe Countries/Australia and New Zealand/Mexico/Thailand/GCC - Pre-delivery Inspection and Periodic Maintenance,24MY / PAJERO SPORT/MONTERO SPORT / Exportación general/Brasil/Sudáfrica/países de Europa del Este/Australia y Nueva Zelanda/México/Tailandia/GCC - Mantenimiento periódico y revisión previa a la entrega
document.mqxliff_2,PERIODIC INSPECTION AND MAINTENANCE SCHEDULE,PLANIFICACIÓN DE INSPECCIONES Y MANTENIMIENTO PERIÓDICOS
document.mqxliff_3,"For items which indicate both distance and time (in months), the inspection should be made at whichever (distance or time) comes first.","En los puntos en los que se indica la distancia y el tiempo (en meses), la inspección se realizará según el intervalo que se cumpla primero."
document.mqxliff_4,VEHICLES FOR GENERAL EXPORT,VEHÍCULOS PARA EXPORTACIÓN GENERAL
document.mqxliff_5,Maintenance item,Punto de mantenimiento
document.mqxliff_6,Maintenance operation,Operación de mantenimiento
document.mqxliff_7,Maintenance interval,Intervalo de mantenimiento
document.mqxliff_8,OPERATIONS INSIDE THE ENGINE COMPARTMENT,OPERACIONES DENTRO DEL COMPARTIMIENTO DEL MOTOR
document.mqxliff_9,"Check drive belt for cracks, fraying, wear, and adjust its tension (","Comprobación de la presencia de fisuras, desgarros o desgaste en la correa de transmisión y ajuste de la tensión ("
document.mqxliff_10,Inspection,Inspección
document.mqxliff_11,"Every 40,000 km or every 2 years",Cada 40.000 km o cada 2 años
document.mqxliff_12,Check vacuum pump oil hose for damage (,Comprobación del estado de la manguera de aceite de la bomba de vacío (
document.mqxliff_13,4D5 engines,Motores 4D5
document.mqxliff_14,Inspection,Inspección
document.mqxliff_15,"Every 20,000 km or every 12 months",Cada 20.000 km o cada 12 meses
document.mqxliff_16,Check intake air hose and turbocharger oil hose for damage (vehicles with turbocharger) (,Comprobación de daños en las mangueras de aceite del turbocompresor y las mangueras de aire de admisión (vehículos con turbocompresor) (
document.mqxliff_17,Inspection,Revisión
document.mqxliff_18,"Every 40,000 km or every 2 years (Over 100,000 km, every 20,000 km for turbocharger oil hose)","Cada 40.000 km o cada 2 años (Con más de 100.000 km, cada 20.000 km para la manguera de aceite del turbocompresor)"
document.mqxliff_19,Replace engine timing belt [Including timing belt B] (except vehicles with timing chain) (,Cambio de la correa de distribución del motor [incluida la correa de distribución B] (excepto vehículos con cadena de distribución) (
document.mqxliff_20,Replace,Cambio
document.mqxliff_21,"Every 100,000 km",Cada 100.000 km
document.mqxliff_22,Replace spark plugs (,Cambio de las bujías de encendido (
document.mqxliff_23,Iridium-tipped type,Con punta de iridio
document.mqxliff_24,Replace,Cambio
document.mqxliff_25,"Every 100,000 km",Cada 100.000 km
document.mqxliff_26,Check valve clearance*1 (except vehicles with auto-lash adjuster) (,Comprobación de la holgura de las válvulas*1 (excepto vehículos con ajustador automático de holgura) (
document.mqxliff_27,4N15 engine,Motor 4N15
document.mqxliff_28,Inspection,Revisión
document.mqxliff_29,"Every 60,000 km",Cada 60.000 km
document.mqxliff_30,4N16 engine,Motor 4N16
document.mqxliff_31,Inspection,Inspección
document.mqxliff_32,Maintenance free,Sin mantenimiento
document.mqxliff_33,6B3 engine (intake side),Motor 6B3 (lado de admisión)
document.mqxliff_34,Inspection,Revisión
document.mqxliff_35,"Every 40,000 km",Cada 40.000 km
document.mqxliff_36,4D5 engine,Motor 4D5
document.mqxliff_37,Inspection,Revisión
document.mqxliff_38,"Every 40,000 km or every 2 years (including noise check for every 20,000 km)",Cada 40.000 km o cada 2 años (incluida la comprobación del ruido cada 20.000 km)
document.mqxliff_39,Check radiator hoses for damage and proper connection (,Comprobación del estado y la conexión de las mangueras del radiador (
document.mqxliff_40,Inspection,Revisión
document.mqxliff_41,"Every 40,000 km or every 2 years",Cada 40.000 km o cada 2 años
document.mqxliff_42,Check engine coolant level in reservoir (,Comprobación del nivel de refrigerante del motor en el depósito (
document.mqxliff_43,Inspection,Revisión
document.mqxliff_44,"Every 20,000 km or every 12 months",Cada 20.000 km o cada 12 meses
document.mqxliff_45,Change engine coolant (,Cambio del refrigerante del motor (
