ID,source,source_language,target,target_language,x-context-pre,x-context-post
1,1987,en,1987,es,,
2,iDISC is founded in Barcelona to offer software development and engineering services.,en,Se funda iDISC en Barcelona para ofrecer servicios de ingeniería y desarrollo de software.,es,<seg>1987</seg>,<seg>1990</seg>
3,1990,en,1990,es,,
4,"We create the Language Services department to translate and adapt software products, as well as corresponding help and documentation materials into Spanish.",en,Creamos el Departamento de Servicios Lingüísticos para traducir y adaptar al español productos de software y los materiales de documentación y ayuda correspondientes.,es,<seg>1990</seg>,<seg>This is how it all starts at language services.</seg>
5,This is how it all starts at language services.,en,Así es como empieza todo en los servicios lingüísticos.,es,"<seg>We create the Language Services department to translate and adapt software products, as well as corresponding help and documentation materials into Spanish.</seg>",<seg>1995</seg>
6,1995,en,1995,es,,
7,"We create a marketing team specialized in computer products, with a particular emphasis on fluency and adaptation to the local market.",en,"Creamos un equipo de marketing especializado en productos informáticos, con especial hincapié en la fluidez y la adaptación al mercado local.",es,<seg>1995</seg>,<seg>1997</seg>
8,1997,en,1997,es,,
9,A production office opens in Argentina to handle the demands for the Spanish used in Latin American countries.,en,Se abre una oficina de producción en Argentina para cubrir la demanda del español que se utiliza en los países latinoamericanos.,es,<seg>1997</seg>,<seg>2010</seg>
10,2010,en,2010,es,,
11,Processes are implemented to meet ISO 9001 and EN 15038 quality standards.,en,Se implementan procesos para cumplir las normas ISO 9001 y EN 15038.,es,<seg>2010</seg>,<seg>Certification is achieved.</seg>
12,Certification is achieved.,en,Se obtiene la certificación correspondiente.,es,<seg>Processes are implemented to meet ISO 9001 and EN 15038 quality standards.</seg>,<seg>2011</seg>
13,2011,en,2011,es,,
14,Teams in Bolivia and Guatemala are set up to cater for native Latin American languages.,en,Se crean equipos en Bolivia y Guatemala para cubrir idiomas nativos latinoamericanos.,es,<seg>2011</seg>,<seg>Now these rare languages ​​are one of our areas of specialization.</seg>
15,Now these rare languages ​​are one of our areas of specialization.,en,Ahora estos idiomas poco comunes son una de nuestras áreas de especialización.,es,<seg>Teams in Bolivia and Guatemala are set up to cater for native Latin American languages.</seg>,<seg>2012</seg>
16,2012,en,2012,es,,
17,Strategic teams are established in the United States to satisfy the needs of American companies.,en,Se establecen equipos estratégicos en Estados Unidos para satisfacer las necesidades de las empresas norteamericanas.,es,<seg>2012</seg>,<seg>2013</seg>
18,2013,en,2013,es,,
19,A team of project managers is implemented in Mexico City to offer extended hours of service to clients from 8:00 GMT to 24:00 GMT and greater coverage during public holidays.,en,Se implementa un equipo de gestores de proyectos en Ciudad de México para ampliar las horas de servicio ofrecidas a los clientes desde las 8:00 GMT hasta las 24:00 GMT y ofrecer una mayor cobertura durante los días festivos.,es,<seg>2013</seg>,<seg>2015</seg>
20,2015,en,2015,es,,
